date,Close,log_return,rv_22d,realised_skew_22d,realised_kurt_22d,realised_quarticity_22d,jump_flag,garman_klass_rv,parkinson_rv,quote_date,index,amihud_illiq,garman_klass_rv_5d,parkinson_rv_5d,amihud_illiq_5d_mean,garman_klass_rv_21d,parkinson_rv_21d,amihud_illiq_21d_mean,atm_iv_30d,atm_iv_90d,term_structure_slope,skew_30d,avg_bid_ask_spread_pct,avg_open_interest,underlying_price,liquid_options_volume,atm_iv_30d_lag_1,atm_iv_30d_lag_2,atm_iv_30d_lag_3,atm_iv_30d_lag_4,atm_iv_30d_lag_5,atm_iv_30d_change_1d,underlying_price_change_1d,iv_fpca1,iv_fpca2,iv_fpca3
2004-03-22,1094.9,-0.009286433643101827,0.015935567229840117,-0.8359195443884795,2.150703949101704,1.387518274254159e-06,0.0,-2.739491803106798e-05,7.314553970799355e-08,2004-03-22,213.59668575967407,1.940341924643055e-09,-4.0999666851522e-05,7.371337321931954e-08,2.0342875899825136e-09,-2.4993385121515837e-05,6.926142002530122e-08,1.994171053098536e-09,,,,,,,,,,,,,,,,1.4589428465798033,-0.20097199586662162,-0.0010364283965838671
2004-03-23,1097.97,0.0027999854124613355,0.015712970359078208,-0.8385698569624058,2.204093659257553,1.3825143666660122e-06,0.0,-2.8792025924765394e-06,7.314553970799355e-08,2004-03-23,213.59668575967407,1.7488324408772136e-09,-3.874256926120739e-05,7.371337321931954e-08,2.0342875899825136e-09,-2.5033281124780605e-05,6.932120925682143e-08,1.994171053098536e-09,,,,,,,,,,,,,,,,1.0659134817064275,-0.14765494163943743,0.14290295950864249
2004-06-21,1130.78,-0.0037602325157934284,0.009073500932285223,1.2561581799068136,4.007185191734036,8.389485707943542e-07,0.0,-5.382768474591258e-06,5.7117846845777704e-08,2004-06-21,213.59668575967407,1.9403419246430547e-09,-4.86218784633123e-06,5.45435207934249e-08,2.0342875899825136e-09,-1.44865636434919e-05,6.062607301646893e-08,1.994171053098536e-09,,,,,,,,,,,,,,,,-0.8139309132234367,0.02952056016286779,0.14453676470588014
2004-06-22,1134.25,0.0030639794746097635,0.00918065163275003,1.2401755968308927,3.921026154939448,8.395948784319192e-07,0.0,-3.5173564762844596e-06,7.314553970799355e-08,2004-06-22,213.59668575967407,1.9403419246430547e-09,-3.41408404632322e-06,5.784215238144826e-08,2.0342875899825136e-09,-1.461188985417693e-05,6.182731841500008e-08,1.994171053098536e-09,,,,,,,,,,,,,,,,-1.0629769650623628,0.07781902571316371,0.19709214484382473
2004-09-20,1122.17,-0.006014828605000511,0.005860697650434598,0.8750381827347905,2.8014046636567236,2.444542018675135e-07,0.0,-1.3837196300517565e-05,7.314553970799355e-08,2004-09-20,213.59668575967407,1.9403419246430547e-09,-8.903973508263852e-06,6.244446217830854e-08,2.0342875899825136e-09,-9.256333223931193e-06,5.588741047522652e-08,1.994171053098536e-09,,,,,,,,,,,,,,,,-1.1909051839273777,-0.02154864617734925,0.08679273658513528
2004-09-21,1128.95,0.006023686432441184,0.006227788058633978,0.8829151392873886,2.5775350627144915,2.539775070508684e-07,0.0,-1.3929957263483103e-05,6.250886682673491e-08,2004-09-21,213.59668575967407,1.9403419246430547e-09,-1.1211449932250076e-05,6.07657956604254e-08,2.0342875899825136e-09,-8.861405343060436e-06,5.586152026785887e-08,1.994171053098536e-09,,,,,,,,,,,,,,,,-1.5364140193283164,0.09829892259031806,0.13702449072377465
2004-12-28,1213.1,0.005132263877960211,0.007177242537077768,0.5390768140076004,3.062625187958489,4.008040673556946e-07,0.0,-1.012336278830403e-05,3.728059066956017e-08,2004-12-28,248.0,1.9403419246430547e-09,-9.929999355768233e-06,5.608285830016402e-08,2.0342875899825136e-09,-1.1209944843554689e-05,5.4290032988500355e-08,1.994171053098536e-09,,,,,,,,,,,,,,,,-2.0508064025344157,-0.012961899029378221,0.03680798986040543
2005-03-21,1184.31,-0.003068805996528697,0.009105137710169409,-0.5871828182045343,2.4292702701306137,5.116487269405143e-07,0.0,-3.5592064488614497e-06,5.680455333474332e-08,2005-03-21,305.0,1.4241846460951756e-09,-1.1337896414542376e-05,5.196442917538371e-08,2.0342875899825136e-09,-1.3971013592727911e-05,4.8399701413303914e-08,1.994171053098536e-09,,,,,,,,,,,,,,,,-1.7746499382198617,-0.12114617354550748,-0.05536974943563796
2005-03-22,1172.68,-0.009286433643101827,0.009857078895853346,-0.6666365929893711,2.324616110483545,5.738134635058796e-07,0.0,-2.7394918031067976e-05,7.314553970799355e-08,2005-03-22,306.0,1.9403419246430547e-09,-1.7607721859788692e-05,6.095833585745506e-08,2.0342875899825136e-09,-1.5726376251067318e-05,4.9774904359361685e-08,1.994171053098536e-09,,,,,,,,,,,,,,,,-1.5232829853185306,-0.12115610350896665,-0.07562496438842534
2005-06-20,1217.45,2.4641972673385896e-05,0.003808589309996552,0.594529342068658,2.0855039507172335,7.685326638765876e-08,0.0,5.647180737763875e-08,4.090500348515304e-08,2005-06-20,368.0,1.1805360374016945e-11,-4.105493073609832e-06,4.383052658041149e-08,1.1797296651198554e-09,-5.750801272010335e-06,4.6951505657908695e-08,1.5105144086566084e-09,,,,,,,,,,,,,,,,-2.523292334719144,0.0448383956333418,-0.051280128367101656
