model,RMSE,MAE,MASE,MAPE(%),QLIKE,mcs_in_set
a2c_l20,0.019184,0.009366,1.013954,4.888752,-0.859701,1
a2c_l10,0.019203,0.009794,1.060378,5.205610,-0.859697,1
a2c_l0,0.019212,0.009597,1.038977,5.050462,-0.859693,1
ppo_surface,0.019221,0.009402,1.017879,4.832114,-0.859656,1
a2c_realised,0.019267,0.009563,1.035348,5.033271,-0.859690,1
a2c_surface,0.019301,0.009365,1.013865,4.865832,-0.859683,1
ppo_realised,0.019302,0.009385,1.016032,4.886529,-0.859682,1
a2c_macro,0.019311,0.009503,1.028780,4.926868,-0.859625,1
ppo_l10,0.019349,0.009432,1.021174,4.865242,-0.859649,1
ppo_macro,0.019355,0.009247,1.001138,4.784729,-0.859673,1
ppo_l20,0.019357,0.009259,1.002380,4.790156,-0.859676,1
ppo_l0,0.019358,0.009248,1.001220,4.785177,-0.859674,1
naive,0.019358,0.009237,1.000000,4.778093,-0.859675,1
ols,0.019993,0.010096,1.093016,5.152215,-0.859529,1
ridge,0.020445,0.010267,1.111487,5.203140,-0.859479,1
har_rv,0.024815,0.013719,1.485211,7.335435,-0.856997,1
ar1,0.025963,0.014979,1.621667,7.993809,-0.856329,1
lstm,0.040581,0.023084,2.499124,12.168077,-0.849336,1
