offset_years,model,RMSE,MAE,MASE,MAPE(%),QLIKE
-5,naive,0.018686,0.008892,1.000000,4.812481,-0.910343
-5,ar1,0.024924,0.014427,1.622433,8.067031,-0.907020
-5,ppo,0.018649,0.009197,1.034238,4.973670,-0.910345
-5,a2c,0.018632,0.009098,1.023155,4.915365,-0.910345
-5,ols,0.018800,0.009739,1.095195,5.373239,-0.910338
-5,lstm,0.047885,0.026518,2.982097,13.607182,-0.892416
-3,naive,0.018686,0.008892,1.000000,4.812481,-0.910343
-3,ar1,0.024924,0.014427,1.622433,8.067031,-0.907020
-3,ppo,0.018649,0.009197,1.034238,4.973670,-0.910345
-3,a2c,0.018632,0.009098,1.023155,4.915365,-0.910345
-3,ols,0.018800,0.009739,1.095195,5.373239,-0.910338
-3,lstm,0.047885,0.026518,2.982097,13.607182,-0.892416
0,naive,0.018508,0.010483,1.000000,4.480993,-0.547781
0,ar1,0.024415,0.016389,1.563365,7.137155,-0.545654
0,ppo,0.018181,0.010781,1.028437,4.606529,-0.547806
0,a2c,0.018272,0.010788,1.029104,4.605421,-0.547778
0,ols,0.018795,0.011750,1.120851,5.076839,-0.547815
0,lstm,0.046514,0.038632,3.685120,17.432247,-0.521294
